11-14 22:10:33: Training starting...
11-14 22:10:35: New best reward 17.0 (-100.0%) at episode 0, saving model...
11-14 22:10:35: New best reward 22.0 (+29.4%) at episode 1, saving model...
11-14 22:10:35: New best reward 26.0 (+18.2%) at episode 5, saving model...
11-14 22:10:35: New best reward 28.0 (+7.7%) at episode 8, saving model...
11-14 22:10:35: New best reward 35.0 (+25.0%) at episode 10, saving model...
11-14 22:10:35: New best reward 45.0 (+28.6%) at episode 22, saving model...
11-14 22:10:35: New best reward 46.0 (+2.2%) at episode 49, saving model...
11-14 22:10:35: New best reward 60.0 (+30.4%) at episode 62, saving model...
11-14 22:10:36: New best reward 63.0 (+5.0%) at episode 217, saving model...
11-14 22:10:36: New best reward 83.0 (+31.7%) at episode 232, saving model...
11-14 22:10:38: New best reward 117.0 (+41.0%) at episode 663, saving model...
11-14 22:10:40: New best reward 124.0 (+6.0%) at episode 959, saving model...
11-14 22:10:45: New best reward 129.0 (+4.0%) at episode 1484, saving model...
11-14 22:10:46: New best reward 149.0 (+15.5%) at episode 1550, saving model...
11-14 22:10:48: New best reward 158.0 (+6.0%) at episode 1745, saving model...
11-14 22:10:49: New best reward 194.0 (+22.8%) at episode 1810, saving model...
11-14 22:10:49: New best reward 254.0 (+30.9%) at episode 1819, saving model...
11-14 22:10:54: New best reward 260.0 (+2.4%) at episode 2146, saving model...
11-14 22:10:54: New best reward 263.0 (+1.2%) at episode 2172, saving model...
11-14 22:10:57: New best reward 402.0 (+52.9%) at episode 2317, saving model...
11-14 22:11:00: New best reward 408.0 (+1.5%) at episode 2440, saving model...
11-14 22:11:04: New best reward 700.0 (+71.6%) at episode 2558, saving model...
11-14 22:11:19: New best reward 761.0 (+8.7%) at episode 2947, saving model...
11-14 22:11:20: New best reward 1168.0 (+53.5%) at episode 2962, saving model...
11-14 22:11:35: New best reward 1398.0 (+19.7%) at episode 3217, saving model...
11-14 22:11:38: New best reward 1581.0 (+13.1%) at episode 3271, saving model...
11-14 22:11:41: New best reward 1747.0 (+10.5%) at episode 3306, saving model...
11-14 22:13:09: New best reward 5349.0 (+206.2%) at episode 4494, saving model...
11-14 22:13:23: New best reward 100000.0 (+1769.5%) at episode 4512, saving model...
